Nomor,Nama Wisata,Kategori,Deskripsi,Alamat,Jam Operasional,Foto,Latitude,Longitude
1,Pantai Boom,Wisata Pantai,"Pantai bersejarah bekas pelabuhan Majapahit, berada di utara Alun-Alun Tuban. Terdapat dermaga sepanjang 800 meter dan sumur air tawar bersejarah.","Jl. Boom, Kel. Kutorejo, Kec. Tuban, Kab. Tuban",06.00-18.00 WIB,pantai_boom.jpg,-6.8922,"	112.0661"
2,Pantai Kelapa,Wisata Pantai,"Pantai dengan deretan pohon kelapa, lokasi favorit menikmati sunrise dan sunset.","Dusun Kepoh, Desa Panyuran, Kec. Palang, Kab. Tuban",07.00-17.00 WIB,pantai_kelapa.jpg,-6.89751,112.08952
3,Pantai Cemara,Wisata Pantai,"Pantai dengan jajaran pohon cemara, gazebo, ATV, dan area piknik keluarga.","Desa Sugihwaras, Kec. Jenu, Kab. Tuban",08.00-17.00 WIB,pantai_cemara.jpg,-6.85702,112.02579
4,Pantai Remen,Wisata Pantai,Satu-satunya pantai pasir putih yang cukup terkenal di Tuban. Terletak di kawasan pesisir utara Kecamatan Jenu.,"Desa Remen, Kec. Jenu, Kab. Tuban",24 Jam,pantai_remen.jpg,-6.76575,111.96808
5,Pantai Panduri,Wisata Pantai,Pantai dengan panorama Laut Jawa dan area rekreasi keluarga.,"Desa Tasikharjo, Kec. Jenu, Kab. Tuban",08.00-17.00 WIB,pantai_panduri.jpg,-6.77391,111.93397
6,Pantai Semilir,Wisata Pantai,"Pantai dengan area santai dan spot swafoto di kawasan pesisir. Lokasinya tidak jauh dari Pantai Pasir Putih Remen, di sebelah barat Pantai Remen.","Desa Socorejo, Kec. Jenu, Kab. Tuban",08.00-17.00 WIB,pantai_semilir.jpg,-6.78763,111.90423
7,Pantai Sowan,Wisata Pantai,Kawasan pantai dengan hutan rindang dan area rekreasi keluarga.,"Desa Bogorejo, Kec. Bancar, Kab. Tuban",08.00-17.00 WIB,pantai_sowan.jpg,-6.7744,111.76426
8,Pantai Dermaga,Wisata Pantai,"Pantai di kawasan pesisir Jenu yang sering dimanfaatkan untuk rekreasi lokal, terkenal dengan pemandangan sunset spektakuler.","Desa Purworejo, Kec. Jenu, Kab. Tuban",24 Jam,pantai_dermaga.jpg,-6.77871,111.92377
9,Pantai Sumur Pawon,Wisata Pantai,"Pantai dengan suasana tenang dan masih alami. Memiliki keunikan berupa sumur air tawar di tepi pantai, pasir putih, dan deretan pohon cemara.","Dusun Mlangwe, Desa  Mentoso, Kec. Jenu, Tuban",24 Jam,pantai_sumur_pawon.jpg,-6.76892,111.97508
10,Pantai Mangrove Center,Wisata Pantai,"Kawasan wisata edukasi mangrove dan pesisir. Terletak di Jalan Raya Pantura bersebelahan dengan Pantai Cemara, 8,5 km dari pusat kota Tuban.","Jl. Raya Tuban-Semarang KM.6, Kajenom, Desa Jenu, Kec. Jenu, Kab. Tuban",08.00-17.00 WIB,mangrove_center.jpg,-6.84082,112.01352
11,Goa Akbar,Wisata Alam,Goa karst dengan stalaktit dan stalagmit yang menjadi salah satu ikon wisata alam Tuban. Terletak di tengah kota Semanding.,"Kel. Gedongombo, Kec. Semanding, Kab. Tuban",08.00-16.00 WIB,goa_akbar.jpg,-6.90603,112.0604
12,Goa Ngerong,Wisata Alam,Goa dengan aliran sungai bawah tanah yang dihuni ribuan ikan dan kelelawar. Salah satu goa terbaik di Jawa Timur.,"Desa Rengel, Kec. Rengel, Kab. Tuban",07.00-17.00 WIB,goa_ngerong.jpg,-7.05969,112.00607
13,Air Terjun Putri Nglirip,Wisata Alam,"Air terjun bertingkat dengan kolam alami berwarna hijau kebiruan, dikelilingi pepohonan rindang.","Desa Mulyoagung, Kec. Singgahan, Kab. Tuban",08.00-17.00 WIB,air_terjun_nglirip.jpg,-6.96835,111.79399
14,Air Terjun Bongok,Wisata Alam,Air terjun alami di kawasan perbukitan hutan jati Tuban bagian selatan. Terletak di lembah ceruk bukit di kawasan hutan lindung RPH Kebonagung.,"Dusun Kerokan, Desa Jetak, Kec. Montong, Kab. Tuban",08.00-17.00 WIB,air_terjun_bongok.jpg,-6.98521,111.93946
15,Wana Wisata Prataan,Wisata Alam,"Kawasan hutan wisata dengan pemandian air panas alami mengandung belerang, kolam air dingin, terapi ikan, dan area berkemah di tengah hutan jati.","Dusun Prataan, Desa Wukirharjo, Kec. Parengan, Kab. Tuban",07.00-17.00 WIB,wana_wisata_prataan.jpg,-7.035884,111.855917
16,Air Panas Nganget,Wisata Alam,Pemandian air panas alami yang berasal dari aktivitas geologi bawah permukaan. Populer untuk wisata kesehatan dan relaksasi.,"Desa Kedungjambe, Kec. Singgahan, Kab. Tuban",07.00-17.00 WIB,air_panas_nganget.jpg,-7.00684,111.80518
17,Air Panas Mbeji,Wisata Alam,Sumber air panas alami yang dimanfaatkan sebagai tempat rekreasi dan terapi. Terdapat sumber air jernih yang mengalir sepanjang tahun.,"Desa Mbeji, Kec. Merakurak, Kab. Tuban",07.00-17.00 WIB,air_panas_mbeji.jpg,-6.93261,111.68867
18,Sendang Lanjar Maibit,Wisata Alam,Mata air alami yang memiliki nilai sejarah dan budaya masyarakat setempat. Airnya jernih dan dikeramatkan warga sekitar.,"Desa Maibit, Kec. Rengel, Kab. Tuban",24 Jam,sendang_lanjar_maibit.jpg,-7.0685,111.97899
19,Makam Sunan Bonang,Wisata Religi,"Kompleks makam salah satu Wali Songo yang menjadi destinasi ziarah utama di Tuban. Terletak di sebelah barat Masjid Agung Tuban, dekat Alun-Alun.","Gg. IV, Kel. Kutorejo, Kec. Tuban, Kabupaten Tuban",24 Jam,makam_sunan_bonang.jpg,-6.894423,112.06325
20,Makam Sunan Bejagung Lor,Wisata Religi,Kompleks makam ulama penyebar Islam di wilayah Tuban yang ramai dikunjungi peziarah.,"Desa Bejagung, Kec. Semanding, Kab. Tuban",24 Jam,makam_sunan_bejagung_lor.jpg,-6.91818,112.05915
21,Masjid Agung Tuban,Wisata Religi,Masjid bersejarah berarsitektur megah di Alun-Alun Tuban. Menjadi pusat kegiatan keagamaan dan salah satu ikon kota Tuban.,"Jl. Bonang, Kel. Kutorejo, Kec. Tuban, Kab.Tuban",24 Jam,masjid_agung_tuban.jpg,-6.89479,112.06382
22,Makam Syekh Maulana Ibrahim Asmoroqondi,Wisata Religi,Tokoh penyebar Islam ayah dari Sunan Ampel yang diyakini memiliki hubungan erat dengan jaringan dakwah Wali Songo.,"Desa Gesikharjo, Kec. Palang, Kab. Tuban",24 Jam,makam_asmoroqondi.jpg,-6.90559,112.12776
23,Makam Syekh Subakir,Wisata Religi,Lokasi yang dikaitkan dengan tokoh penyebar Islam dan spiritualitas Jawa. Banyak dikunjungi peziarah dari berbagai daerah.,"Awar Awar, Tasikharjo, Kec. Jenu, Kab. Tuban",24 Jam,makam_syekh_subakir.jpg,-6.77284,111.93442
24,Museum Kambang Putih,Wisata Budaya/Sejarah,"Museum yang menyimpan koleksi sejarah, arkeologi, dan budaya Kabupaten Tuban. Berlokasi di sebelah Masjid Agung Tuban.","Jl. RA. Kartini No.03, Kel. Kutorejo, Kec. Tuban, Kab. Tuban",08.00-15.00 WIB,museum_kambang_putih.jpg,-6.89583,112.06435
25,Klenteng Kwan Sing Bio,Wisata Budaya/Sejarah,Klenteng terbesar di Asia Tenggara yang menjadi ikon budaya Tionghoa di Tuban. Berdiri megah di tepi Laut Jawa sejak abad ke-18.,"Jl. Pantura, Karangsari, Kel. Kutorejo, Kec. Tuban, Kab. Tuban",24 Jam,kwan_sing_bio.jpg,-6.885591,112.05092
26,Makam Ronggolawe,Wisata Budaya/Sejarah,Situs makam tokoh Adipati Tuban pada masa awal Majapahit. Bernilai sejarah tinggi bagi masyarakat Tuban.,"Desa Kembangbilo, Kec. Tuban, Kab. Tuban",24 Jam,makam_ronggolawe.jpg,-6.89392,112.06054
27,Jatiwangi Park,Wisata Buatan,"Taman rekreasi keluarga dengan kolam renang, wahana permainan, dan area edukasi anak.","Desa Tuwiri Wetan, Kec. Merakurak, Kab. Tuban",08.00-17.00 WIB,jatiwangi_park.jpg,-6.88804,111.97564
28,Kandangan Park,Wisata Buatan,Destinasi rekreasi keluarga dengan berbagai wahana permainan dan spot foto menarik.,"Desa Kandangan, Kec. Kerek, Kab. Tuban",08.00-17.00 WIB,kandangan_park.jpg,-7.07471,111.83184
29,Agro Park Klumpit,Wisata Buatan,"Wisata alam dan buatan yang menggabungkan wahana rekreasi, spot foto, dan pemandangan perbukitan.","Desa Klumpit, Kec. Soko, Kab. Tuban",08.00-17.00 WIB,agro_park_klumpit.jpg,-7.03395,111.92667
30,Sendang Asmoro Park,Wisata Buatan,"Wisata keluarga dengan ATV, flying fox, mini trail, rumah hobbit, dan camping ground.","Desa Ngino, Kec. Semanding, Kab. Tuban",08.00-17.00 WIB,sendang_asmoro_park.jpg,-6.98681,112.06478
31,Silowo Ecopark,Wisata Buatan,Ekowisata berbasis sumber mata air jernih dan hutan sagu yang dilengkapi fasilitas rekreasi keluarga.,"Desa Mandirejo, Kec. Merakurak, Kab. Tuban",08.00-17.00 WIB,silowo_ecopark.jpg,-6.87963,111.98422
32,Tanazawi Tuban,Wisata Buatan,"Agriculture Edupark yang memadukan edukasi pertanian, wahana permainan, dan wisata keluarga. Menjadi destinasi agrowisata unggulan di Tuban.","Desa Sendang, Desa Bringin, Kec. Montong, Kab. Tuban",08.00-17.00 WIB,tanazawi_tuban.jpg,-7.008802,111.899063
33,JJ Water Park,Wisata Buatan,Taman rekreasi air dengan kolam renang dan wahana permainan keluarga yang menyenangkan.,"Desa Leran Kulon, Kec. Palang, Kab. Tuban",08.00-17.00 WIB,jj_water_park.jpg,-6.924164,112.14457
34,Batu Van Tuban,Wisata Buatan,Destinasi wisata swafoto berkonsep alam dengan berbagai wahana buatan dan pemandangan perbukitan.,"Desa Tingkis, Kec. Singgahan, Kab. Tuban",08.00-17.00 WIB,batu_van_tuban.jpg,-6.96905,111.79428
